Question,Option A,Option B,Option C,Option D,Correct Option,Generated MCQ,Difficulty,Chapter
The number of integer solutions to the equation x^2 + y^2 = 2023 is:,0,1,2,4,(A),"Explanation: Let $x,y \in \mathbb{Z}$ such that $x^2 + y^2 = 2023$. Then, we have $x^2 = 2023 - y^2$. Since $y^2 \geq 0$, we have $x^2 \geq 2023-0 = 2023$. Therefore, the only solution is $(x,y) = (0,0)$, so the correct answer is (A).",Hard,Real Numbers
If a b c are real numbers such that a^2 + b^2 + c^2 = 1 then the maximum value of ab + bc + ca is:,45689,1,45691,2,(B),"Explanation:
We are given that a^2 + b^2 + c^2 = 1, so a^2 = 1 - b^2 - c^2. 
Using the fact that a, b and c are real numbers, we can write a > 0, b > 0 and c > 0.
So, ab = (a^2)b = (1 - b^2 - c^2)b = (1 - b^2)(1 - c^2)b = (1 - b^2 - c^2)b.
Similarly, we can write bc = (b^2)c = (1 - b^2 - c^2)c = (1 - b^2 - c^2)c and ca = (a^2)c = (1 - b^2 - c^2)c.
Now, the maximum value of ab + bc + ca is given by:
ab + bc + ca = (1 - b^2 - c^2)b + (1 - b^2 - c^2)c + (1 - b^2 - c^2)c",Hard,Real Numbers
If x y z are positive real numbers such that x + y + z = 1 then the minimum value of x^2 + y^2 + z^2 is:,45718,45717,1,3,(A),"Explanation:
The given equation x + y + z = 1 can be written as x + (y + z) = 1. Since x, y and z are positive real numbers, we have x + y > 0 and x + z > 0. Therefore, x^2 + y^2 > x^2 + z^2. Also, since x + y + z = 1, we have x + (y + z) = 1. So, the minimum value of x^2 + y^2 + z^2 is 45718.
Hence, the correct answer is (A) 45718.",Hard,Real Numbers
Let a b c be positive real numbers such that a + b + c = 1. Then the minimum value of (a/b + b/c + c/(A) is:,1,2,3,4,(C),"Explanation:
We have a + b + c = 1, so a + 2b + 3c = 1. Now, we can simplify the expression by combining like terms: a + 2b + 3c = 1. Finally, we can solve for the minimum value of (a/b + b/c + c/A) by setting each term equal to its minimum value, which is 1/3.
This question requires students to apply the concepts of simplifying algebraic expressions and solving equations to find the minimum value of a given expression.",Hard,Real Numbers
If x y z are positive real numbers such that xyz = 1 then the minimum value of (x + 1/y)(y + 1/z)(z + 1/x) is:,8,16,27,64,(A),"Explanation:
We are given that xy = z and xyz = 1. So, we can write x = yz and y = xz. Now, we have:
(x + 1/y)(y + 1/z)(z + 1/x) = (yz + 1)(z + 1)(x + 1) = 1
So, the minimum value of this expression is 8. Therefore, the correct answer is (A).",Hard,Real Numbers
Let a b c be real numbers such that a + b + c = 0 and a^2 + b^2 + c^2 = 1. Then the value of a^4 + b^4 + c^4 is:,45717,45809,45839,45901,(B),"Explanation:
The given equation a + b + c = 0 can be written as:
a^2 + b^2 + c^2 = -1
Using the quadratic formula, we get:
a = (-b ± sqrt(b^2 - 4ac)) / 2a
Substituting the values given in the question:
a = (-b ± sqrt(b^2 - 4(0)(c))) / 2(1)
b = 0, so a = (0 ± sqrt(0 - 4(0)(c))) / 2(1)
c = 1, so a = (0 ± sqrt(0 - 4(1)(1))) / 2(1)
b = 0, so a = (0 + sqrt(0)) / 2(1) = 0
Therefore, the value of a^4 + b^4 + c^4 is:
a^4 + b^4 + c^4 = (0 + 0 + 1)^4 = 64
So the correct answer is (B) 4580",Hard,Real Numbers
Let a b c be positive real numbers such that abc = 1. Then the minimum value of a + b + c is:,1,2,3,4,(C),"Explanation:
We can rewrite the equation as: a+b+c=1/abc. Since all numbers are positive, we know that a+b+c is less than or equal to 3. Therefore, the minimum value of a + b + c is 3. So the correct answer is (C).",Hard,Real Numbers
The number of integer solutions to the equation x^2 + y^2 = 2022 is:,0,1,2,4,(A),"Explanation:
The given equation is x^2 + y^2 = 2022, which can be simplified by subtracting y^2 from both sides.
x^2 + y^2 - y^2 = 2022 - y^2
x^2 = 1820
Therefore, the number of integer solutions is 0.
So, the correct answer is (A) 0.",Hard,Real Numbers
The HCF of 72 and 120 is:,12,24,36,6,(B),"You can use this format to create as many questions as you like, just change the numbers in the question to different integers.",Medium,Real Numbers
The LCM of 16 and 24 is:,24,48,96,192,(B),"The question is designed to test the student's understanding of the concept of least common multiple (LCM). The options are all possible LCMs of 16 and 24, but only one of them is the correct answer. The correct answer is (B) 48, because 16 x 2 = 32 and 24 x 1 = 24, so the least common multiple of 16 and 24 is 48.",Medium,Real Numbers
The decimal expansion of 17/8 is:,Terminating,Non-terminating repeating,Non-terminating non-repeating,None of these,(A),"Explanation: The decimal expansion of 17/8 is terminating because it ends in a digit that repeats. In this case, the digit 0 repeats. Therefore, the answer is (A) Terminating.",Medium,Real Numbers
The decimal expansion of 10/3 is:,Terminating,Non-terminating repeating,Non-terminating non-repeating,None of these,(B),"Note:  You should format the choices using angle brackets < >.
You may need to use superscripts for powers of 10 or exponents, for example.",Medium,Real Numbers
If the HCF of two numbers is 4 and their LCM is 96 one of the numbers is 16. The other number is:,24,32,48,64,(A),"The solution will look something like this:

Question: If the HCF of two numbers is 4 and their LCM is 96 one of the numbers is 16. The other number is:
(A) 24
Correct Answer: (A) 24

Explanation:
The HCF of two numbers is 4, which means that both numbers must divide into 4 without leaving a remainder. Since their LCM is 96, one of the numbers must be a multiple of 16. Therefore, the other number is 16.",Medium,Real Numbers
The HCF and LCM of two numbers are 6 and 36 respectively. If one of the numbers is 12 then the other number is:,18,9,24,3,(A),"Explanation: Let's find the HCF and LCM of two numbers using the given information.
HCF = 6
LCM = 36
Since one of the numbers is 12, we can find the other number by dividing 36 by the HCF (which is 6).
So, the other number is 6 x 6 = 36.
Therefore, the correct answer is (A) 18.",Medium,Real Numbers
Find the largest number that exactly divides both 28 and 42:,7,14,21,28,(A),"Explanation: The largest number that exactly divides both 28 and 42 is 7. To find the largest common divisor of two numbers, we can divide both numbers by their greatest common divisor, which is 7 in this case. So, option (A) is the correct answer.",Medium,Real Numbers
Find the smallest number that is exactly divisible by both 15 and 20:,30,60,90,120,(B),Explanation: The smallest number that is exactly divisible by both 15 and 20 is 40.,Medium,Real Numbers
If the prime factorization of a number is 2^3 Ã— 3^2 Ã— 5 then the number is:,360,180,90,45,(A),"Explanation:
The prime factorization of a number is 2^3 Ã— 3^2 Ã— 5. To find the number, we need to multiply the prime factors together. In this case, we have 2^3 = 8, 3^2 = 9, and 5 = 25. So, the number is 8 x 9 x 25 = 360. Therefore, the correct answer is (A) 360.",Medium,Real Numbers
If the decimal representation of a number is 0.125 then the number is:,45748,45778,45870,45901,(D),"To generate a question, simply replace the placeholder text ""Question: If the decimal representation of a number is 0.125 then the number is:"" with your actual question.",Medium,Real Numbers
The product of two numbers is 72. If their HCF is 2 their LCM is:,18,36,72,144,(B),"To use this as a MCQ in your quiz, simply copy and paste the question into your MCQ editor or quiz platform.",Medium,Real Numbers
"The HCF of three numbers 12, 15 and 21 is:",3,4,5,7,(A),"Explanation:
The HCF of 12, 15 and 21 is 3.
So the correct answer is (A) 3.",Medium,Real Numbers
"The LCM of three numbers 8, 12 and 18 is:",36,72,144,216,(B),"Explanation: Let's use the least common multiple (LCM) formula to find the LCM of 8, 12 and 18. The formula is: LCM = smallest number that both numbers can divide into without leaving a remainder. In this case, 8 divides into 12 three times and leaves no remainder, so the LCM is 3 x 12 = 36.",Medium,Real Numbers
The greatest number which exactly divides both 144 and 192 is:,12,24,48,72,(C),"Explanation:
The greatest number which exactly divides both 144 and 192 is 48. To find the greatest common divisor of two numbers, we can use the Euclidean algorithm. In this case, we can see that 48 divides both 144 and 192, so it is the greatest common divisor.",Medium,Real Numbers
The least number which is exactly divisible by both 18 and 24 is:,36,72,108,144,(B),"Explanation:
The least number which is exactly divisible by both 18 and 24 is 72. To see why, consider that both 18 and 24 are factors of 72. Therefore, the least number which is exactly divisible by both 18 and 24 is 72.
Note: The answer key is provided at the end of the question.",Medium,Real Numbers
The decimal expansion of 7/20 is:,Terminating,Non-terminating repeating,Non-terminating non-repeating,None of these,(A),"In the next step, create an essay question in the format of ""Write a well-developed response to the following question:"", with options (a) or (b): 
    Write a well-developed response to the following question:
    How do the cultural beliefs and values of ancient Mesopotamia influence modern society?
    
(a) Discuss the ways in which ancient Mesopotamian beliefs about the afterlife have shaped contemporary funeral practices.
(b) Analyze how the concept of divine kingship in ancient Mesopotamia has influenced political systems in the Middle East today.",Medium,Real Numbers
The decimal expansion of 2/11 is:,Terminating,Non-terminating repeating,Non-terminating non-repeating,None of these,(B),"Explanation: The decimal expansion of 2/11 is a non-terminating repeating sequence. The pattern of the decimal expansion is: 0.1818... (where the dots indicate that the sequence goes on indefinitely). Therefore, the correct answer is (B) Non-terminating repeating.",Medium,Real Numbers
Let Î± and Î² be the roots of x^2 - 5x + 3 = 0 with Î± > Î². If an = Î±^n - Î²^n for n â‰¥ 1 then (a10 - 5a9)/2a8 is:,1,2,3,4,(B),"Explanation:
The given equation x^2 - 5x + 3 = 0 has roots Î± and Î². We are asked to find the value of an = Î±^n - Î²^n for n â‰¥ 1. Then we have (a10 - 5a9)/2a8 = (Î±^(10) - Î², 9 + Î²). 
Since Î± > Î², we have Î±^(10) - Î²^9 > Î². So (a10 - 5a9)/2a8 = ( Î±^(10) - Î²^9 ) / (2 * Î²^8) = 2 * (Î±^9 - Î²^9) / Î², which is option (B).",Medium,Real Numbers
The value of k for which the equation (k-12)x^2 + 2(k-12)x + 2 = 0 has equal roots is:,14,12,10,8,(A),"Then add a new question on the same topic:
    Question: What is the value of x in the equation (k-12)x^3 + (k-12)x^2 - 4(k-12)x - 8 = 0?
    (A) 2
    (B) 3
    (C) 5
    (D) 7
    Correct Answer: (C)",Medium,Real Numbers
If the roots of the equation (a-B)x^2 + (b-C)x + (c-A) = 0 are equal then:,2a = b + c,a + c = 2b,a = b = c,None of these,(A),"Note: This question is testing the students understanding of solving quadratic equations, specifically in the form ax^2 + bx + c = 0. The correct answer is (A) 2a = b + c, which is a key concept in solving quadratic equations by factoring.",Medium,Real Numbers
If the equation (c^2 - aB)x^2 - 2(a^2 - bC)x + b^2 - ac = 0 has equal roots then:,a = 0 or a^3 + b^3 + c^3 = 3abc,a = 0 or a + b + c = 0,a = b = c,None of these,(A),"Explanation: The given equation can be factored as (x - ra)(x - rb) = 0, where r = sqrt(a^2 - b^2). Since the equation has equal roots, we know that a = 0 or a^3 + b^3 + c^3 = 3abc. Therefore, option (A) is the correct answer.",Medium,Real Numbers
The roots of the equation a(b-C)x^2 + b(c-A)x + c(a-B) = 0 are:,1 and c/a,1 and a/c,1 and b/a,1 and a/b,(A),Can you explain why this question is solvable by working through it step by step?,Medium,Real Numbers
If the sum of the roots of a quadratic equation is equal to the product of the roots then the equation is:,x^2 - ax + a = 0,x^2 + ax - a = 0,x^2 - ax - a = 0,x^2 + ax + a = 0,(A),"Explanation:
The given equation is x^2 - 3x + 2 = 0. To find the sum of the roots, we need to add the coefficients of the squared term and the constant term. In this case, the sum of the roots is 3 + 2 = 5. Now, if the sum of the roots is equal to the product of the roots, then the equation is (A) x^2 - ax + a = 0.
Please choose the correct answer from the options given.",Medium,Real Numbers
The roots of the equation (x-A)(x-B) + (x-B)(x-C) + (x-C)(x-A) = 0 are:,(a+(B)/2 (b+(C)/2 (c+/2,a b c,a/2 b/2 c/2,None of these,(A),"Explanation:
    The given equation is a sum of three quadratic expressions. 
    To find the roots, we can set each expression equal to zero and solve for x.
    For the first expression (x-A), we have (x-A)(x-B) = 0, so x = A or x = -B.
    For the second expression (x-B), we have (x-B)(x-C) = 0, so x = B or x = -C.
    For the third expression (x-C), we have (x-C)(x-A) = 0, so x = C or x = -A.
    Therefore, the roots of the equation are A, -B, and -C.",Medium,Real Numbers
If one root of the quadratic equation ax^2 + bx + c = 0 is three times the other root then the relation between a b and c is:,3b^2 = 16ac,b^2 = 3ac,b^2 = 9ac,3b^2 = ac,(A),"Explanation:
The quadratic formula is given by: x = (-b ± sqrt(b^2 - 4ac)) / 2a. If one root of the equation is three times the other root, then we can rewrite this formula as x = (3(-b ± sqrt(b^2 - 4ac))) / (6a).
Now, we can see that if b^2 - 4ac = 0, then the two roots are equal, so one of them is three times the other. Therefore, the correct answer is (A) 3b^2 = 16ac.",Medium,Real Numbers
Let a b c be real numbers such that a + b + c = 0 and a â‰  0. If the roots of ax^2 + bx + c = 0 are equal then:,b^2 - 4ac = 0 and b = 2a,b^2 - 4ac = 0 and b = -2a,b^2 - 4ac > 0,b^2 - 4ac < 0,(A),"Explanation:
Let $ax^2 + bx + c = 0$ be a quadratic equation with real coefficients. If the roots of the equation are equal, then the discriminant of the equation is zero, and using the formula $b^2 - 4ac = (a - \alpha)(a - \beta)$, we have $b^2 - 4ac = 0$. Since $a\neq 0$, we have $b=2a$ or $b=-2a$. So the correct answer is (A).",Medium,Real Numbers
The number of real values of 'a' for which the equation x^2 - 2ax + a^2 - 1 = 0 has real and distinct roots is:,Infinite,0,1,2,(A),"Explanation:
The equation x^2 - 2ax + a^2 - 1 = 0 can be factored as (x - a)^2 = 0, which implies that x = a. Therefore, there are real values of 'a' for which the equation has distinct real roots. So, the correct answer is (A) Infinite.",Medium,Real Numbers
If the roots of the equation x^2 - ax - b = 0 are real and unequal then the roots of the equation x^2 - ax + b^3 = 0 will be:,Real and unequal,Real and equal,Imaginary,Cannot be determined,(A),"Explanation:
The given equation x^2 - ax - b = 0 can be factored as (x - r1)(x - r2) = 0, where r1 and r2 are the roots of the equation. Since the roots of the equation are real and unequal, we know that r1 and r2 are distinct real numbers.
Now, consider the equation x^2 - ax + b^3 = 0. This equation can be factored as (x - r1)(x - r2) = 0, where r1 and r2 are the roots of the original equation. Since r1 and r2 are real numbers, we know that r1 and r2 are distinct real numbers. Therefore, the roots of the equation x^2 - ax + b^3 = 0 will be real and unequal.
So, the correct answer is (A) Real and unequal.",Medium,Real Numbers
The equation |x^2 - 4x + 3| = k has four distinct real roots if:,0 < k < 1,1 < k < 2,k < 0,k = 1,(A),"Explanation:
     The given equation is a quadratic equation, and to find the real roots of the equation, we need to set |x^2 - 4x + 3| = k equal to zero and solve for x. Since k < 1, there are no real roots when k < 0 or k > 1. Therefore, the correct answer is (A) 0 < k < 1.",Medium,Real Numbers
If a b c are distinct real numbers such that a + b + c = 0 and a^3 + b^3 + c^3 - 3abc = 0 then the roots of the quadratic equation ax^2 + bx + c = 0 are:,Real and equal,Real and unequal,Imaginary,Cannot be determined,(A),"Explanation: If a + b + c = 0, then we can write a = -b - c. Substituting this into the quadratic equation ax^2 + bx + c = 0, we get x^2 + (-b - c)x + (-a - c) = 0. Simplifying, we have (x + b + c)(x - a - c) = 0. Since a, b, and c are distinct real numbers, we know that (x + b + c) is never equal to zero, so x = -b + c or x = -a + b. Therefore, the roots of the quadratic equation ax^2 + bx + c = 0 are real and equal.
   Note: There may be multiple questions in the list. Each question should have a unique correct answer among (A), (B), (C), or (D).",Medium,Real Numbers
The number of integral values of 'k' for which the equation (k-12)x^2 + 2(k-12)x + 2 = 0 has equal roots is:,1,2,3,4,(A),"Explanation:
The equation (k-12)x^2 + 2(k-12)x + 2 = 0 can be factored as (k-12)(x + 2/k) = 0. Since the roots of a polynomial are always nonzero, we know that x + 2/k = 0 has exactly one root, k = 12. Therefore, the number of integral values of 'k' for which the equation has equal roots is 1.
Note: In this question, the answer choices are all integers, but they do not necessarily correspond to actual solutions of the equation.",Medium,Real Numbers
"The mean of the data set {3, 5, 7} is?",5,4,6,3,(A),"Explanation:
The question asks for the mean of the data set {3, 5, 7}. To find the mean, we add up all the values and divide by the number of values. In this case, the sum is 15 and there are 3 values, so the mean is 5. The correct answer is (A) 5.",Easy,Statistics
"The sum of the numbers {10, 15, 20, 25} is?",70,75,80,85,(B),Note: The numbers in the question are random and will be different each time you run the program.,Easy,Statistics
"What is the median of the data set {2, 5, 3, 7, 9}?",3,5,7,6,(B),"Explanation: The median of the data set {2, 5, 3, 7, 9} is 5. To find the median, the values in the data set are arranged in order from smallest to largest: 2, 3, 5, 7, 9. Since there are an odd number of values in the data set, the middle value (in this case, 5) is the median.",Easy,Statistics
"The mode of the data set {1, 2, 2, 3, 3, 4, 5} is?",2,3,4,5,(A),"Write a Python function that takes in a list of integers and returns the mode of the list. Here's an example of how you might implement this function:
def find_mode(data):
    # Initialize an empty set to store the count of each value
    counts = {}

    # Loop through the data set and update the counts
    for value in data:
        if value in counts:
            counts[value] += 1
        else:
            counts[value] = 1

    # Return the most common value in the count set
    return max(counts, key=counts.get)

Test your function by calling it with a list of integers and printing the result. For example:
data = [1, 2, 2, 3, 3, 4, 5]
print(find_mode(data))  # Output: The mode of the data set is 2.
How do you think this function would perform on a larger dataset? Would it be efficient enough to use in a real-world application? Why or why not?",Easy,Statistics
"The range of the data set {5, 10, 15, 20} is?",10,15,20,25,(B),"Explanation:
The range of a set of numbers is the difference between the largest and smallest values in the set. In this case, the largest value is 20 and the smallest value is 5, so the range is 20 - 5 = 15. Therefore, the correct answer is (B) 15.",Easy,Statistics
"If the mean of 4 numbers is 8, what is their total sum?",32,24,16,12,(A),Then add another question with a different set of numbers and calculate the correct answer.,Easy,Statistics
"What is the median of the data set {3, 6, 9}?",9,6,3,5,(B),"Explanation: The median of the data set {3, 6, 9} is 6.
The reason why it's the median is: The number 9 is larger than both the other numbers in the set, so it is not included in the median. The median is the middle value in the set, which is 6.",Easy,Statistics
"What is the mean of the data set {1, 3, 5, 7}?",4,5,3,2,(A),"Explanation: The mean of a data set is calculated by summing all the values in the set and dividing by the number of values. In this case, the data set contains four values: 1, 3, 5, 7. To find the mean, we first add all the values together: 1 + 3 + 5 + 7 = 26. Then, we divide the sum by the number of values in the set: 26 / 4 = 6. Therefore, the mean of the data set is 6.",Easy,Statistics
"The sum of the numbers {4, 8, 12} is?",22,24,26,20,(B),"The question above can be modified to use different numbers. For example:
Question: The sum of the numbers {3, 5, 7} is?
(A) 15
(B) 19
(C) 22
(D) 26
Correct Answer: (B)",Easy,Statistics
"What is the median of the data set {1, 4, 6, 8, 10}?",6,5,7,4,(A),"Write a question that uses a real-world scenario to generate a question. For example:
Question: If you have $100 in a savings account earning 3% interest per year, how much money will you have after 5 years?
(A) $103
(B) $105
(C) $107
(D) $110
Correct Answer: (C) $107

Write a question that uses a graph or chart to generate a question. For example:
Question: The graph below shows the number of hours of TV watched by students in a survey. What is the median number of hours watched per week?
[Graph]
(A) 2-3 hours
(B) 4-5 hours
(C) 6-7 hours
(D) 8 or more hours
Correct Answer: (C) 6-7 hours

Write a question that uses a statistical concept to generate a question. For example:
Question: What is the range of the data set {3, 5, 7, 9, 11}?
(A) 2-4",Easy,Statistics
"The mode of the data set {5, 7, 5, 8, 9} is?",7,5,9,8,(B),"Explanation: The mode of a set of numbers is the number that appears most frequently in the set. In this case, the number 5 appears three times, which is more than any other number. Therefore, the mode of the data set is 5.",Easy,Statistics
"What is the range of the data set {2, 5, 7, 10}?",8,7,5,3,(A),,Easy,Statistics
"If the mean of 6 numbers is 9, what is their total sum?",50,54,56,60,(B),The answer key will be provided at the end of the quiz.,Easy,Statistics
"What is the median of the data set {3, 6, 9, 12}?",6,9,7,8,(A),"Explanation:
The median of the data set is the middle value when the values are arranged in order. In this case, the middle value is 6, so the median is 6.
Note: The correct answer is option (A), 6.",Easy,Statistics
"In a class of 20 students, 15 are boys. What is the probability of selecting a girl?",3/20,5/20,15/20,2/5,(B),"Explanation:
The number of girls in the class is 5, which is 15% of the total number of students. Therefore, the probability of selecting a girl is 15/20 or 5/10.",Easy,Statistics
"The mean of the data set {5, 7, 9, 11} is?",6,7,8,5,(A),"Explain why this question is a good example of a multiple-choice question:
    1. The answer choices are all possible values for the mean of the data set, making it a straightforward question to grade.
2. The correct answer is the only one that matches the given data set, making it easy for students to identify the correct response.
3. The question does not require any mathematical calculations or complex reasoning, making it accessible to a wide range of learners.",Easy,Statistics
"The median of the data set {4, 6, 8, 10, 12} is?",6,8,10,7,(B),"Explanation: The median of the data set {4, 6, 8, 10, 12} is 8. To find the median, we need to arrange the data in order from smallest to largest: 4, 6, 8, 10, 12. Since there are an odd number of values, the middle value (in this case, 8) is the median.
Conclusion: 8
(D) is not correct because the answer is 8 and not 7.",Easy,Statistics
"If the class intervals are 10-20, 20-30, and 30-40, what is the width of each class?",10,20,30,40,(A),"Explanation: The question asks for the width of each class interval, which is the difference between the upper and lower bounds of that interval. In this case, the class intervals are 10-20, 20-30, and 30-40, so the width of each class is:
Width = Lower bound - Upper bound
For the first class interval (10-20), the lower bound is 10 and the upper bound is 20, so the width is:
Width = 20 - 10 = 10
Similarly, for the second class interval (20-30), the lower bound is 20 and the upper bound is 30, so the width is:
Width = 30 - 20 = 10
And for the third class interval (30-40), the lower bound is 30 and the upper bound is 40, so the width is:
Width = 40 - 30 = 10
Therefore, the correct answer is (A) 10.",Easy,Statistics
"What is the mode of the data set {15, 18, 18, 20, 22}?",15,18,20,22,(B),"Explanation: The mode is the value that appears most frequently in a data set. In this case, the value 18 appears twice, which is more than any other value. Therefore, the mode of the data set is 18.",Easy,Statistics
"The range of the data set {2, 4, 7, 10} is?",8,10,7,6,(A),"To generate a true/false question in this format:
Question: The statement ""The sum of the data set {2, 4, 7, 10} is equal to 2 + 4 + 7 + 10"" is true or false?
(A) True
(B) False
Correct Answer: (B) False
To generate a short answer question in this format:
Question: Find the median of the data set {2, 4, 7, 10}.
Answer: __________

You can also generate a matching question in this format:
Question: Match the following numbers with their corresponding operations:
(A) 2
(B) +
(C) -
(D) x
(E) /
Correct Answer: (B) +
I hope this helps! Let me know if you have any other questions.",Easy,Statistics
"What is the sum of the numbers {3, 6, 9}?",18,15,12,9,(B),"To create a true or false question in this format:
Question: Is the number 3 odd?
(A) True
(B) False
Correct Answer: (B)",Easy,Statistics
"In a frequency distribution, the class intervals are 10-20, 20-30, 30-40. The midpoint of the first class is?",15,25,20,30,(A),"Explanation:
The midpoint of the first class interval, which is 10-20, is 15. Therefore, the correct answer is (A) 15.",Easy,Statistics
"The mean of 5 numbers is 12. If four numbers are 8, 15, 10, and 13, what is the fifth number?",16,20,22,24,(B),"Explanation:
The mean of 5 numbers is calculated by adding all the numbers together and dividing by 5. In this case, the sum of the given numbers is 8 + 15 + 10 + 13 = 46. Dividing by 5 gives us the mean: 46 / 5 = 9.2 (approximately). Therefore, the fifth number must be 15.",Hard,Statistics
"The average score of 7 students is 80. If one student scored 90, what is the average of the remaining 6 students?",78,75,82,80,(A),"Explanation: The average score of 7 students is 80, which means the sum of their scores is 7 x 80 = 560. If one student scored 90, the total score of the remaining 6 students is 6 x 80 = 480. Therefore, the average of the remaining 6 students is (480 / 6) = 80, which is option (A).",Hard,Statistics
"The median of the data set {7, 12, 10, 8, 15} is?",8,10,12,15,(B),"Explanation: The median of the data set {7, 12, 10, 8, 15} is 10. To calculate the median, we arrange the numbers in order from smallest to largest: 7, 8, 10, 12, 15. Since there are an odd number of values, the middle value (10) is the median.",Hard,Statistics
"In a group of 10 people, the ages are 18, 20, 24, 22, 23, 21, 19, 25, 27, 30. What is the mode of the ages?",18,20,23,No mode,(D),"Explanation: The mode is the most frequently occurring age in the data set. In this case, there is no age that occurs more than once. Therefore, the mode is none (D).",Hard,Statistics
The sum of the squared deviations of a set of data points from their mean is 60. What is the variance?,5,6,10,12,(B),"Explanation:
The sum of the squared deviations of a set of data points from their mean is equal to 60, so the variance is half that amount. Since there are 4 terms in the sum (squares of four observations minus their mean squared), we multiply it by half, to find half squared is indeed B or  60 divided by 2. The value of the variance will be twice the standard deviation squared, which in this case would be twice 6 or 12, and only one choice among (B) offers that.",Hard,Statistics
"The mean of the data set {5, 7, 9, 11, 13} is?",8,9,10,11,(B),"Explanation: The mean of the data set is calculated by adding all the values and dividing by the number of values. In this case, the sum of the values is 5 + 7 + 9 + 11 + 13 = 45. Dividing by 5 gives us a mean of 9.",Hard,Statistics
"The standard deviation of the numbers {2, 4, 6, 8, 10} is?",2,2.5,3,4,(A),,Hard,Statistics
"In a class of 30 students, 18 are boys and the rest are girls. If one student is selected at random, what is the probability that the student is a girl?",12/30,18/30,2/5,1/3,(A),"Explanation: There are 18 boys out of a total of 30 students, which means that the probability of selecting a boy is 18/30. Therefore, the probability of selecting a girl is 30 - 18 = 12/30.",Hard,Statistics
"The median of the following data set: {5, 10, 12, 15, 20, 30} is?",15,12,10,13.5,(D),"Explanation: The median of the data set is 13.5, which is calculated by arranging the numbers in order from smallest to largest and selecting the middle value.",Hard,Statistics
"In a survey of 50 people, 30 prefer tea and the rest prefer coffee. What is the probability that a randomly selected person prefers coffee?",1/5,2/5,3/5,4/5,(B),"Explanation:
The sample space for this problem consists of all possible outcomes, where each outcome is a person's preference for tea or coffee. Since there are 50 people in the survey and 30 prefer tea, there are 20 people who prefer coffee (the rest). So the probability that a randomly selected person prefers coffee is 20/50 = 4/10 = B.",Hard,Statistics
"The mode of the following set of numbers: {3, 5, 7, 5, 8, 5, 3, 3, 8} is?",5,3,8,No mode,(B),"Explanation: The mode of a set of numbers is the value that appears most frequently in the set. In this case, the number 3 appears twice in the set, but the other numbers only appear once. Therefore, the mode of the set is 3.",Hard,Statistics
"The variance of the data set {2, 4, 6, 8} is?",4,5,6,7,(A),"You will also need to create a short answer question in the format:
    Question: What is the value of x in the equation 3x + 2 = 14?
    Answer: 

Please let me know if you are ready for these questions or if you need more practice.",Hard,Statistics
"The range of the data set {8, 15, 12, 6, 10} is?",5,10,9,8,(B),Please fill in the answer and provide feedback.,Hard,Statistics
"A group of 5 students has an average age of 15. If one student is 19 years old, what is the average age of the other 4 students?",13.5,12,14,13,(A),"Explanation: The average age of a group of 5 students is calculated by adding the ages of all the students and dividing by 5. Since one student is 19 years old, the sum of their ages is greater than the total sum of all other students ages added together multiplied by 5 / (number of students-1) because you cant count yourself twice.
So the average age of the remaining 4 students would be: 15 + 13 + 12 + 10 = 40/5 = 8
Therefore, the correct answer is (A) 13.5",Hard,Statistics
"The median of the data set {1, 5, 7, 9, 10, 15, 18, 22} is?",8,9,10,12,(B),"The median of the data set is calculated by arranging the numbers in order from least to greatest and selecting the middle value, which is 9.",Hard,Statistics
"Find the range for the data set {11, 13, 15, 17, 19, 21}?",6,10,8,4,(B),"Explanation: The range of the data set is 10. To find the range, we need to subtract the smallest value from the largest value in the data set. In this case, the smallest value is 11 and the largest value is 21, so the range is 10 (21 - 11).",Hard,Statistics
"In a data set, the mean is 15 and the sum of the squares of the deviations from the mean is 225. What is the variance?",10,15,20,25,(D),"Explanation:
The formula for calculating the variance is: Variance = Sum of the squares of deviations from mean / n, where n is the number of data points in the set.
In this case, the sum of the squares of the deviations from the mean is 225, and there are 4 data points in the set (since the question does not specify a different value for n). So, to calculate the variance, we divide the sum of the squares by 4: Variance = 225 / 4 = 56.
Therefore, the correct answer is (D) 25.",Hard,Statistics
"The mean of 10 numbers is 18. If one number is increased by 2, what will be the new mean?",18.2,18.5,19,19.2,(A),"Explanation:
The question is asking for the new mean of a set of numbers after one number has been increased by 2. To find the new mean, we need to calculate the sum of all the numbers in the set after the change, and divide it by the total number of numbers. Since the original mean is 18, and one number has been increased by 2, the new sum will be:
Sum = 10 x Number 1 + (Number 2 + 2) + ... + (Number 10 + 2)
= 10 x 10 + 10 + ... + 10 + 20
= 100 + 30 + ... + 40 + 60 = 350
Now, divide the new sum by the total number of numbers:
New mean = Total sum / Number of numbers
= 350 / 10 = 35
So, the new mean after one number has been increased by 2 is 35. Therefore, the correct answer is (A) 18.2.",Hard,Statistics
A teacher gives 10 marks extra to each student in a class. What will be the effect on the mean and median of the data?,Both will increase by 10,Both will decrease by 10,"Mean will increase by 10, but median will remain the same",Both will remain the same,(A),"Explanation: When a teacher gives 10 marks extra to each student in a class, the mean of the data will increase by 10. The median of the data will also be affected, but it will not change by as much as the mean. The median is less sensitive to outliers than the mean and will remain relatively unchanged. Therefore, the correct answer is (A) Both will increase by 10.",Hard,Statistics
